1,1;1,11|1,1;1,11|1,2;1,11|1,1;2,11|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;3,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;2,10|1,1;2,10
1,1;11,1|1,1;10,1|1,1;11,1|1,1;10,1|1,1;11,1|1,1;10,1|1,1;11,1|1,1;10,1|2,1;10,1|2,2;9,1|3,2;10,1|3,2;10,1|3,3;10,1|3,3;10,1|3,3;10,2|2,3;10,1|2,3;10,2|2,3;11,2|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,4|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,4|2,3;11,4|2,3;11,4|2,3;11,4|2,3;11,4|2,3;11,4|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,4|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,4|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,4|2,3;11,4|2,3;11,4|2,3;11,4|2,3;11,4|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,4|2,3;11,4|2,3;11,4|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,4|2,3;11,4|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,4|2,3;11,4|2,3;11,4|2,3;11,4|2,3;11,4|2,3;11,4|2,3;11,3|2,3;11,3|2,3;11,4|2,3;11,3|2,3;11,3|2,3;11,3|2,3;11,4|2,3;11,3|2,3;11,3|2,3;11,4|2,3;11,3|2,3;11,3|2,3;11,3
1,1;11,11|1,1;11,11|1,1;10,11|1,1;10,11|1,2;10,10|1,2;10,9|1,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|1,1;10,9|1,1;10,9|2,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|1,1;10,9|1,1;10,9|1,1;10,9|2,1;10,9|1,1;10,9|1,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|2,1;10,9|1,1;10,9|1,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|2,1;10,9|1,1;10,9|1,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|1,1;10,9|1,1;10,9|1,1;10,9|1,1;10,9|2,1;10,9|2,1;10,9|1,1;10,9|1,1;10,9|1,1;10,9|1,1;10,9|1,1;10,9|2,1;10,9
1,11;1,1|1,11;1,2|1,11;1,1|1,11;1,2|1,11;1,1|1,11;1,2|2,11;1,3|3,11;1,3|4,11;1,3|4,11;1,2|4,10;2,2|3,10;2,1|3,9;2,2|3,9;3,2|3,9;3,3|3,10;3,4|3,9;2,4|3,9;1,4|4,9;2,4|4,10;3,4|5,10;3,3|4,10;3,4|3,10;3,4|3,9;2,4|3,8;1,4|2,8;1,4|2,9;2,4|2,9;3,4|2,9;3,4|2,9;3,4|2,9;3,3|2,9;3,3|2,9;3,3|2,9;3,3|2,9;3,3|2,9;3,2|2,9;3,2|2,9;3,1|2,9;3,1|2,9;3,2|2,9;3,1|2,9;3,2|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,2|2,9;2,2|2,9;3,2|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,2|2,9;3,1|2,9;3,1|2,9;3,2|2,9;4,2|2,9;4,2|2,9;4,2|2,9;3,2|2,9;4,2|2,9;4,2|2,9;4,2|2,9;4,2|2,9;4,2|2,9;4,2|2,9;3,2|2,9;3,1|2,9;3,2|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,2|2,9;3,2|2,9;2,2|2,9;2,2|2,9;2,1|2,9;2,1|2,9;3,1|2,9;3,1|2,9;3,1|2,9;3,2|2,9;3,2|2,9;2,2|2,9;2,2|2,9;2,2|2,9;3,2|2,9;3,2
1,11;11,1|2,11;11,1|1,11;11,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1|1,11;10,1
1,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11|2,11;11,11|2,11;11,11|2,11;11,11|1,11;11,11
11,1;1,1|11,1;1,1|11,2;1,1|11,1;2,1|11,1;2,2|11,1;3,2|11,1;3,1|10,1;3,1|10,2;3,1|11,2;3,2|10,2;3,3|10,1;3,2|10,1;2,2|10,1;3,2|10,1;2,2|10,1;2,2|10,1;3,2|10,1;2,2|10,1;2,1|10,2;2,1|10,2;3,1|11,2;3,2|10,2;3,1|10,1;3,1|9,1;3,1|9,1;3,1|9,1;3,1|9,1;2,1|9,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1|10,1;1,1
11,1;1,11|11,1;2,11|11,1;2,10|11,1;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9|11,3;2,9|11,2;2,9
11,1;11,11|11,1;11,11|11,2;11,11|11,3;11,11|11,3;11,11|11,3;11,11|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10|11,2;11,10
11,11;1,1|10,11;1,2|11,11;1,2|11,11;1,3|11,11;1,4|11,10;1,4|11,9;1,4|11,10;1,4|11,10;1,4|11,10;1,4|11,9;1,4|11,9;1,3|11,8;1,3|11,8;1,3|11,8;1,4|11,9;2,4|11,9;1,4|11,9;1,4|11,10;1,4|11,9;1,3|11,9;1,3|11,8;1,3|11,9;1,4|11,9;1,3|11,8;1,3|11,9;1,4|11,9;1,4|11,9;1,4|11,9;1,4|11,9;1,4|11,10;1,4|11,10;1,4|11,9;1,3|11,9;1,3|11,9;1,2|11,9;1,3|11,8;1,3|11,8;1,3|11,8;1,4|11,9;2,4|11,9;1,4|11,8;1,3|11,9;1,4|11,8;1,3|10,8;1,4|10,7;1,4|10,8;1,4|10,7;1,4|10,7;1,4|10,7;1,4|10,8;1,4|10,8;1,4|10,7;1,4|10,8;1,4|10,7;1,4|10,8;1,4|10,8;1,4|10,7;1,4|10,8;1,4|10,8;1,4|10,7;1,4|10,7;1,4|10,7;1,4|10,7;1,4|10,7;1,4|10,8;1,4|10,8;1,4|10,8;1,4|10,7;1,4|10,7;1,4|10,7;1,4|10,8;1,4|10,7;1,4|10,8;1,4|10,7;1,4|10,8;1,4|10,7;1,4|10,7;1,4|10,7;1,4|10,8;1,4|10,7;1,4|10,8;1,4|10,8;1,4|10,8;1,4|10,7;1,4|10,7;1,4|10,8;1,4|10,7;1,4|10,8;1,4|10,7;1,4|10,7;1,4|10,7;1,4|10,8;1,4|10,8;1,4|10,8;1,4|10,8;1,4|10,8;1,4|10,7;1,4|10,7;1,4|10,8;1,4|10,7;1,4
