1,1;1,11|1,1;1,10|1,1;1,10|1,1;1,10|1,1;1,10|1,2;1,10|1,2;2,10|2,2;2,11|3,2;2,10|3,3;2,9|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10|3,3;2,10
1,1;11,1|1,1;10,1|1,1;9,1|1,1;9,1|1,1;9,1|1,1;9,1|1,1;9,1|1,2;9,1|1,2;9,2|1,3;9,3|1,3;9,2|1,2;9,3|1,2;9,4|1,2;10,4|1,1;9,4|1,1;10,4|1,1;9,4|2,1;10,4|2,1;9,4|2,2;9,4|2,3;10,4|2,4;10,5|2,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|2,4;10,5|3,4;10,5|2,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|2,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|2,4;10,5|2,4;10,5|2,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|2,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|2,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|2,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|2,4;10,5|2,4;10,5|2,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|2,4;10,5|2,4;10,5|2,4;10,5|2,4;10,5|3,4;10,5|2,4;10,5|2,4;10,5|2,4;10,5|2,4;10,5|3,4;10,5|2,4;10,5|3,4;10,5|3,4;10,5|2,4;10,5|2,4;10,5|2,4;10,5|2,4;10,5|2,4;10,5|2,4;10,5|2,4;10,5|3,4;10,5|3,4;10,5|2,4;10,5|3,4;10,5|3,4;10,5|3,4;10,5|2,4;10,5|3,4;10,5|2,4;10,5|3,4;10,5|2,4;10,5
1,1;11,11|1,1;11,11|1,2;11,10|2,2;11,11|3,2;10,11|4,2;10,11|4,2;9,11|3,2;10,11|4,2;10,11|4,2;9,11|3,2;10,11|4,2;10,11|4,2;9,11|3,2;10,11|4,2;10,11|4,2;9,11|3,2;10,11|4,2;10,11|4,2;9,11|3,2;10,11|3,1;10,10|2,1;11,10|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9|2,2;11,9
1,11;1,1|1,11;1,1|1,11;1,1|1,10;1,1|1,10;2,1|2,10;1,1|3,10;1,1|2,10;1,1|2,11;1,2|2,10;1,1|2,10;1,1|2,10;2,1|3,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1|2,10;3,1
1,11;11,1|2,11;10,1|1,11;10,2|1,11;11,2|1,11;10,2|1,11;11,2|2,11;11,2|3,11;11,2|3,10;11,3|3,10;11,3|3,10;11,3|3,10;11,3|3,10;11,3|3,10;11,3|2,10;11,3|1,10;11,4|1,9;11,4|1,9;11,4|1,9;11,4|2,9;11,4|2,9;11,4|2,9;11,3|1,9;11,2|1,9;10,2|1,10;10,3|2,10;9,3|2,11;10,3|2,11;10,3|2,10;10,3|3,10;10,2|2,10;10,1|2,11;11,1|2,11;11,1|2,11;10,1|2,11;9,1|3,11;10,1|3,11;10,1|2,11;10,2|3,11;11,2|4,11;11,2|4,11;10,2|4,10;10,1|4,11;10,1|4,11;9,1|3,11;9,1|3,10;9,2|4,10;9,3|3,10;9,2|3,10;9,3|3,10;9,3|3,10;9,3|4,10;10,3|4,9;10,4|4,8;10,3|3,8;10,2|3,8;10,1|2,8;9,1|2,8;9,1|3,8;9,1|3,8;9,1|4,8;10,1|4,8;11,1|4,9;11,1|3,9;11,1|4,9;11,2|4,8;10,2|4,8;11,2|4,8;11,2|4,9;11,3|4,8;11,4|3,8;11,4|4,8;11,4|4,8;11,4|4,8;11,4|3,8;11,4|4,8;11,4|4,8;11,4|4,8;11,4|4,8;11,4|3,8;11,4|4,8;11,4|3,8;11,4|4,8;10,4|4,8;10,4|4,8;10,5|4,9;10,5|4,10;10,4|5,10;9,4|5,10;9,3|4,10;9,4|4,9;9,3|4,9;9,3|4,10;9,3|3,10;9,2|3,10;9,3|3,9;9,4|3,9;9,4|3,10;9,4|3,9;9,4|3,10;9,4|3,10;9,4
1,11;11,11|1,10;11,11|2,10;11,11|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10|2,10;11,10
11,1;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1|11,2;1,1
11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11|11,1;1,11
11,1;11,11|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10|11,1;11,10
11,11;1,1|10,11;1,1|10,10;1,2|10,10;2,2|9,10;1,2|10,10;1,1|9,10;1,1|9,10;1,1|9,9;2,1|9,9;2,1|9,10;2,2|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3|9,9;2,3
